date,births
1981-08-07,10157
1981-08-08,10026
1981-08-09,10069
1981-08-10,9335
1981-08-11,8524
1981-08-12,9558
1981-08-13,10337
1981-08-14,10179
1981-08-15,10142
1981-08-16,10190
1981-08-17,9279
1981-08-18,8883
1981-08-19,9155
1981-08-20,10128
1981-08-21,10311
1981-08-22,10285
1981-08-23,10275
1981-08-24,9762
1981-08-25,8883
1981-08-26,9261
1981-08-27,10405
1981-08-28,10280
1981-08-29,10206
1981-08-30,10278
1981-08-31,9441
1981-09-01,4533
1981-09-02,4175
1981-09-03,9282
1981-09-04,10274
1981-09-05,10378
1981-09-06,10223
1981-09-07,10131
1981-09-08,9576
1981-09-09,8479
1981-09-10,9167
1981-09-11,10037
1981-09-12,10232
1981-09-13,10281
1981-09-14,9925
1981-09-15,9483
1981-09-16,8718
1981-09-17,9187
1981-09-18,10612
1981-09-19,10297
1981-09-20,10204
1981-09-21,10011
1981-09-22,9482
1981-09-23,8642
1981-09-24,9272
1981-09-25,10243
1981-09-26,10236
1981-09-27,10217
1981-09-28,10295
1981-09-29,9633
1981-09-30,8734
1981-10-01,9184
1981-10-02,10252
1981-10-03,10091
1981-10-04,9993
1981-10-05,9964
1981-10-06,9607
1981-10-07,8613
1981-10-08,9090
1981-10-09,10266
1981-10-10,10194
1981-10-11,9948
1981-10-12,10157
1981-10-13,9463
1981-10-14,8505
1981-10-15,9041
1981-10-16,9941
1981-10-17,10205
1981-10-18,9727
1981-10-19,9729
1981-10-20,9060
1981-10-21,8066
1981-10-22,8808
1981-10-23,9829
1981-10-24,10040
1981-10-25,10108
1981-10-26,10076
1981-10-27,9146
1981-10-28,8125
1981-10-29,8527
1981-10-30,9971
1981-10-31,10125
1981-11-01,9935
1981-11-02,9808
1981-11-03,9166
1981-11-04,8220
1981-11-05,9028
1981-11-06,10086
1981-11-07,10092
1981-11-08,9837
1981-11-09,10052
1981-11-10,9208
1981-11-11,8506
1981-11-12,9212
1981-11-13,9972
1981-11-14,9992
1981-11-15,9968
1981-11-16,10051
1981-11-17,9494
1981-11-18,8311
1981-11-19,9128
1981-11-20,10242
1981-11-21,10365
1981-11-22,10006
1981-11-23,10376
1981-11-24,9465
1981-11-25,8671
1981-11-26,8679
1981-11-27,9487
1981-11-28,10555
1981-11-29,10435
1981-11-30,10554
1981-12-01,9622
1981-12-02,8797
1981-12-03,4369
1981-12-04,10077
1981-12-05,10355
1981-12-06,10195
1981-12-07,10208
1981-12-08,10366
1981-12-09,8965
1981-12-10,8638
1981-12-11,10206
1981-12-12,10569
1981-12-13,10379
1981-12-14,10131
1981-12-15,10162
1981-12-16,8853
1981-12-17,8484
1981-12-18,10182
1981-12-19,10749
1981-12-20,10414
1981-12-21,10072
1981-12-22,10522
1981-12-23,9012
1981-12-24,8713
1981-12-25,10597
1981-12-26,10540
1981-12-27,10325
1981-12-28,10377
1981-12-29,10524
1981-12-30,8649
1981-12-31,8599
1982-01-01,10502
1982-01-02,11057
1982-01-04,10679
1982-01-05,10657
1982-01-06,9717
1982-01-07,8935
1982-01-08,8875
1982-01-09,10602
1982-01-10,11498
1982-01-11,11205
1982-01-12,11146
1982-01-13,11364
1982-01-14,9452
1982-01-15,8997
1982-01-16,10618
1982-01-17,11577
1982-01-18,11108
1982-01-19,10942
1982-01-20,11126
1982-01-21,9333
1982-01-22,8993
1982-01-23,11111
1982-01-24,11313
1982-01-25,11064
1982-01-26,10965
1982-01-27,11010
1982-01-28,9430
1982-01-29,9254
1982-01-30,10893
1982-01-31,11479
1982-02-01,11211
1982-02-02,11000
1982-02-03,11211
1982-02-04,4806
1982-02-05,9449
1982-02-06,10222
1982-02-07,11324
1982-02-08,11674
1982-02-09,11217
1982-02-10,11205
1982-02-11,10665
1982-02-12,9545
1982-02-13,10121
1982-02-14,11221
1982-02-15,11231
1982-02-16,11256
1982-02-17,11257
1982-02-18,10597
1982-02-19,9473
1982-02-20,10003
1982-02-21,11303
1982-02-22,11254
1982-02-23,10990
1982-02-24,10897
1982-02-25,10611
1982-02-26,9460
1982-02-27,10089
1982-02-28,11232
1982-03-01,11362
1982-03-02,11226
1982-03-03,11008
1982-03-04,10561
1982-03-05,9503
1982-03-06,10061
1982-03-07,5702
1982-03-08,11156
1982-03-09,10922
1982-03-10,10894
1982-03-11,11180
1982-03-12,9354
1982-03-13,9095
1982-03-14,9213
1982-03-15,11071
1982-03-16,11356
1982-03-17,11245
1982-03-18,11471
1982-03-19,9561
1982-03-20,9396
1982-03-21,11377
1982-03-22,11422
1982-03-23,11365
1982-03-24,11071
1982-03-25,11148
1982-03-26,9609
1982-03-27,9532
1982-03-28,11262
1982-03-29,11488
1982-03-30,11281
1982-03-31,11201
1982-04-01,11460
1982-04-02,9703
1982-04-03,9337
1982-04-04,11341
1982-04-05,11074
1982-04-06,10992
1982-04-07,5263
1982-04-08,10916
1982-04-09,10249
1982-04-10,9103
1982-04-11,10050
1982-04-12,10824
1982-04-13,10640
1982-04-14,10463
1982-04-15,10528
1982-04-16,10234
1982-04-17,8946
1982-04-18,9566
1982-04-19,10477
1982-04-20,10434
1982-04-21,10443
1982-04-22,10466
1982-04-23,9669
1982-04-24,8455
1982-04-25,9295
1982-04-26,10255
1982-04-27,10399
1982-04-28,10309
1982-04-29,10310
1982-04-30,9514
1982-05-01,8706
1982-05-02,9464
1982-05-03,10085
1982-05-04,10305
1982-05-05,10226
1982-05-06,10193
1982-05-07,9494
1982-05-08,4395
1982-05-09,4066
1982-05-10,9334
1982-05-11,10366
1982-05-12,10312
1982-05-13,10369
1982-05-14,10477
1982-05-15,9847
1982-05-16,8564
1982-05-17,9315
1982-05-18,10287
1982-05-19,10051
1982-05-20,10253
1982-05-21,10013
1982-05-22,9407
1982-05-23,8738
1982-05-24,9342
1982-05-25,10825
1982-05-26,10250
1982-05-27,10139
1982-05-28,10428
1982-05-29,9727
1982-05-30,8620
1982-05-31,9318
1982-06-01,10385
1982-06-02,10552
1982-06-03,9270
1982-06-04,8897
1982-06-05,9109
1982-06-06,8546
1982-06-07,9343
1982-06-08,5234
1982-06-09,5366
1982-06-10,10543
1982-06-11,10365
1982-06-12,10014
1982-06-13,9272
1982-06-14,8392
1982-06-15,9300
1982-06-16,10330
1982-06-17,10295
1982-06-18,10016
1982-06-19,10029
1982-06-20,9411
1982-06-21,8506
1982-06-22,9421
1982-06-23,10424
1982-06-24,10709
1982-06-25,10340
1982-06-26,10764
1982-06-27,9883
1982-06-28,8344
1982-06-29,9295
1982-06-30,10586
1982-07-01,10244
1982-07-02,9296
1982-07-03,8382
1982-07-04,8217
1982-07-05,8516
1982-07-06,9780
1982-07-07,11165
1982-07-08,11191
1982-07-09,10841
1982-07-10,5201
1982-07-11,8560
1982-07-12,8308
1982-07-13,8606
1982-07-14,9958
1982-07-15,10253
1982-07-16,10182
1982-07-17,9949
1982-07-18,10087
1982-07-19,8484
1982-07-20,8387
1982-07-21,10226
1982-07-22,10452
1982-07-23,10182
1982-07-24,10100
1982-07-25,9969
1982-07-26,8705
1982-07-27,8522
1982-07-28,10253
1982-07-29,10708
1982-07-30,10334
1982-07-31,10176
1982-08-01,10425
1982-08-02,8706
1982-08-03,8532
1982-08-04,10232
1982-08-05,10457
1982-08-06,10156
1982-08-07,10113
1982-08-08,10207
1982-08-09,8726
1982-08-10,8380
1982-08-11,5052
1982-08-12,10153
1982-08-13,10365
1982-08-14,10097
1982-08-15,10244
1982-08-16,9576
1982-08-17,8595
1982-08-18,9330
1982-08-19,10532
1982-08-20,10514
1982-08-21,10368
1982-08-22,10450
1982-08-23,9778
1982-08-24,8809
1982-08-25,9383
1982-08-26,10494
1982-08-27,10677
1982-08-28,10387
1982-08-29,10422
1982-08-30,9667
1982-08-31,8780
